FID,fid,the_geom,id,longitud0,latitude1,porta_ab2,cod_cnes3,nome_est4,nomecomp5,cod_tipo6,tipo
saude_sala_situacao_2.108,108,MULTIPOINT ((172372.13761996094 8238100.423322886)),107,-48.059644,-15.914693,sim,7059965,UBS 6 Recanto das Emas,UBS 06 RECANTO DAS EMAS,2,UBS
saude_sala_situacao_2.109,109,MULTIPOINT ((157685.78366615798 8266213.544017767)),108,-48.19266667,-15.65894444,sim,6662358,UBS 2 Brazlândia,UBS 2 BRAZLANDIA,2,UBS
saude_sala_situacao_2.110,110,MULTIPOINT ((194821.72452456085 8251636.183358535)),110,-47.848469,-15.7953438,sim,0011355,UBS 3 Asa Norte,UBS 3 ASA NORTE (VILA PLANALTO),2,UBS
saude_sala_situacao_2.111,111,MULTIPOINT ((191717.94334090385 8260941.059547479)),111,-47.876229286,-15.710947102,sim,2617358,UBS 1 Varjão,UBS 1 VARJAO,2,UBS
saude_sala_situacao_2.112,112,MULTIPOINT ((201732.59858146985 8267748.6681412775)),112,-47.782041,-15.650685,sim,0011223,UBS 1 Sobradinho,UBS 1 SOBRADINHO,2,UBS
saude_sala_situacao_2.113,113,MULTIPOINT ((198792.65275285637 8267288.9960430525)),113,-47.809496,-15.654486,sim,0011231,UBS 2 Sobradinho,UBS 2 SOBRADINHO,2,UBS
saude_sala_situacao_2.114,114,MULTIPOINT ((197175.70655177167 8268368.122135455)),114,-47.824431,-15.644548,sim,0011258,UBS 1 Sobradinho II,UBS 1 SOBRADINHO II,2,UBS
saude_sala_situacao_2.115,115,MULTIPOINT ((186570.53474508057 8274444.135882017)),115,-47.922476,-15.588392,sim,0011517,UBS 2 Fercal,UBS 2 CATINGUEIRO FERCAL,2,UBS
saude_sala_situacao_2.116,116,MULTIPOINT ((204595.92805778806 8268088.122197852)),116,-47.755315,-15.647957,sim,0011568,UBS 3 Sobradinho,UBS 3 NOVA COLINA SOBRADINHO,2,UBS
saude_sala_situacao_2.117,117,MULTIPOINT ((214667.56588711962 8257286.766198257)),117,-47.662715,-15.746663,sim,0011576,UBS 11 Planaltina,UBS 11 RAJADINHA PLANALTINA,2,UBS
saude_sala_situacao_2.118,118,MULTIPOINT ((224722.38474354031 8249222.052145467)),118,-47.569871,-15.820625,sim,0011584,UBS 14 Planaltina,UBS 14 TABATINGA PLANALTINA,2,UBS
saude_sala_situacao_2.119,119,MULTIPOINT ((230646.37644181907 8280959.947150984)),119,-47.511097,-15.534618,sim,0011592,UBS 16 Planaltina,UBS 16 PIPIRIPAU PLANALTINA,2,UBS
saude_sala_situacao_2.120,120,MULTIPOINT ((245624.06291971824 8262364.311439089)),120,-47.373487,-15.704136,sim,0011622,UBS 13 Planaltina,UBS 13 SAO JOSE PLANALTINA,2,UBS
saude_sala_situacao_2.121,121,MULTIPOINT ((216015.82402088313 8273237.699534121)),121,-47.648284,-15.602764,sim,2360233,UBS 7 Planaltina,UBS 7 JARDIM RORIZ PLANALTINA,2,UBS
saude_sala_situacao_2.122,122,MULTIPOINT ((178639.12530071015 8242104.656011962)),122,-48.00064,-15.879364,sim,3781437,UBS 2 Riacho Fundo I,UBS 02 RIACHO FUNDO I,2,UBS
saude_sala_situacao_2.123,123,MULTIPOINT ((203893.3810186959 8257842.117005922)),123,-47.763109,-15.740397,sim,6268269,UBS 1 Itapoã,UBS 1 ITAPOA,2,UBS
saude_sala_situacao_2.124,124,MULTIPOINT ((221750.07990072225 8236015.200859799)),124,-47.599129,-15.939568,sim,7075596,UBS 7 Paranoá,UBS 7 - CAFE SEM TROCO - PARANOA,2,UBS
saude_sala_situacao_2.125,125,MULTIPOINT ((172196.47948453296 8251311.37697513)),125,-48.059483,-15.795407,sim,0010901,UBS 1 Taguatinga,UBS 01 TAGUATINGA,2,UBS
saude_sala_situacao_2.126,126,MULTIPOINT ((171823.6327769527 8249628.313636563)),126,-48.063188,-15.810552,sim,0010928,UBS 2 Taguatinga,UBS 02 TAGUATINGA,2,UBS
saude_sala_situacao_2.127,127,MULTIPOINT ((168483.76902890555 8250623.4220346)),127,-48.094193,-15.801127,sim,0010960,UBS 7 Taguatinga,UBS 07 TAGUATINGA,2,UBS
saude_sala_situacao_2.128,128,MULTIPOINT ((187239.4579485361 8249080.362514666)),128,-47.919506,-15.817481,nao,DIVISA,DIVISA,Diretoria de Vigilância Sanitária,68,ADMC
saude_sala_situacao_2.129,129,MULTIPOINT ((190397.9277880506 8251146.417680043)),129,-47.889785,-15.799221,nao,CPD,CPD,CPD - SES/DF,68,ADMC
saude_sala_situacao_2.130,130,MULTIPOINT ((182338.25689172617 8249377.762743849)),130,-47.965174,-15.814176,nao,APOIO,Parque de Apoio,PARQUE DE APOIO - SES,68,ADMC
saude_sala_situacao_2.131,131,MULTIPOINT ((215631.08820638031 8272239.442866165)),131,-47.651985,-15.611736,sim,9768637,UBS 20 Planaltina,UBS 20 PLANALTINA,2,UBS
saude_sala_situacao_2.132,132,MULTIPOINT ((161719.08973866497 8264241.369324572)),132,-48.155364,-15.677292,nao,9571280,UBS 8 Brazlândia,UBS 8 TORRE DE BRAZLANDIA,2,UBS
saude_sala_situacao_2.133,133,MULTIPOINT ((187701.3533665517 8261133.9952596035)),133,-47.9136441,-15.7087085,sim,5117666,UBS 5 Asa Norte,UBS 5 GRANJA DO TORTO,2,UBS
saude_sala_situacao_2.134,134,MULTIPOINT ((173613.4793144621 8245172.104909727)),134,-48.047102094,-15.851016269,sim,0010626,UBS 5 Taguatinga,UBS 05 TAGUATINGA,2,UBS
saude_sala_situacao_2.135,135,MULTIPOINT ((173259.40951112565 8228016.760121341)),135,-48.052746,-16.005841,sim,0010847,UBS 3 Gama,UBS 3 GAMA,2,UBS
saude_sala_situacao_2.136,136,MULTIPOINT ((195854.7963350764 8270749.0722264685)),136,-47.836444,-15.62289,sim,7041594,UBS 6 Sobradinho II,UBS 6 VALE DAS ACACIAS SOBRADINHO II,2,UBS
saude_sala_situacao_2.137,137,MULTIPOINT ((197648.94336109638 8268973.9904070925)),137,-47.819946,-15.639134,sim,7368895,UBS 2 Sobradinho II,UBS 2 SOBRADINHO II,2,UBS
saude_sala_situacao_2.138,138,MULTIPOINT ((195772.45251690428 8269328.526440202)),138,-47.837388,-15.635707,sim,7686730,UBS 5 Sobradinho II,UBS 5 SETOR DE MANSOES SOBRADINHO II,2,UBS
saude_sala_situacao_2.139,139,MULTIPOINT ((172224.3808062488 8246922.579382214)),139,-48.059819,-15.835031,sim,0010588,Policlínica Taguatinga,POLICLINICA DE TAGUATINGA,4,Policlinica
saude_sala_situacao_2.140,140,MULTIPOINT ((200567.96207085025 8268007.127642728)),140,-47.792863,-15.648213,sim,9414754,Policlínica Sobradinho,POLICLINICA DE SOBRADINHO,4,Policlinica
saude_sala_situacao_2.141,141,MULTIPOINT ((187239.4579485361 8249080.362514666)),141,-47.919506,-15.817481,sim,0010766,CEO 712 912 Sul,CEO 712 912 SUL,36,Centro de Especialidade
saude_sala_situacao_2.142,142,MULTIPOINT ((190676.46289195737 8252728.902860028)),142,-47.88698503,-15.78496722,sim,0011142,COMPP,COMPP - CENTRO DE ORIENTACAO MEDICO PSICOPEDAGOGICO,36,Centro de Especialidade
saude_sala_situacao_2.323,323,MULTIPOINT ((179761.15836129553 8228041.52549262)),323,-47.992057,-16.006472,sim,7493576,UBS 4 Santa Maria,UBS 4 SANTA MARIA,2,UBS
saude_sala_situacao_2.143,143,MULTIPOINT ((171607.8971637173 8250603.282338121)),143,-48.065067,-15.801722,sim,0011193,Cent Radiologia Tagua,CENTRAL DE RADIOLOGIA DE TAGUATINGA,39,Apoio diagnostico
saude_sala_situacao_2.144,144,MULTIPOINT ((190794.40803807462 8252715.039467575)),144,-47.885887,-15.785107,sim,0011339,FHB,FUNDACAO HEMOCENTRO,69,Hemocentro
saude_sala_situacao_2.145,145,MULTIPOINT ((192363.10364190838 8252842.929849304)),145,-47.871243,-15.784146,nao,0011371,LACEN,LACEN DF,67,LACEN
saude_sala_situacao_2.146,146,MULTIPOINT ((164688.39305211074 8248593.442574741)),146,-48.12986111,-15.81894444,sim,0011479,Lab Regional Ceil,LABORATORIO REGIONAL DE CEILANDIA,39,Apoio diagnostico
saude_sala_situacao_2.147,147,MULTIPOINT ((201957.96843104 8253274.672262332)),147,-47.781716,-15.781411,sim,2645157,HRL,HRL,5,Hospital
saude_sala_situacao_2.148,148,MULTIPOINT ((181493.67364333512 8247288.250898581)),148,-47.973326,-15.832933,sim,0011665,Lab Regional Guará,LABORATORIO REGIONAL DO GUARA,39,Apoio diagnostico
saude_sala_situacao_2.149,149,MULTIPOINT ((190515.98556773958 8249235.871837056)),149,-47.888929,-15.816486,sim,0011347,Adolescentro,ADOLESCENTRO BRASILIA,36,Centro de Especialidade
saude_sala_situacao_2.150,150,MULTIPOINT ((191108.92196043726 8251827.941665523)),150,-47.8830676,-15.7931556,sim,2616726,NTA-DF,NTA,39,Apoio diagnostico
saude_sala_situacao_2.151,151,MULTIPOINT ((181493.67364333512 8247288.250898581)),151,-47.973326,-15.832933,sim,3372375,CAPS Guará,CAPS GUARA,70,CAPS
saude_sala_situacao_2.152,152,MULTIPOINT ((187607.19755991455 8255602.592276288)),152,-47.9152337,-15.7586391,nao,2649527,HAB,HOSPITAL DE APOIO DE BRASILIA-HAB,7,Hospital Especializado
saude_sala_situacao_2.153,153,MULTIPOINT ((190559.83743698744 8251038.220761236)),153,-47.888289,-15.800218,nao,3206874,Banco de Olhos,BANCO DE ORGAOS E TECIDOS DO DISTRITO FEDERAL,39,Apoio diagnostico
saude_sala_situacao_2.154,154,MULTIPOINT ((179703.40730062017 8227417.742542482)),154,-47.99268,-16.012096,nao,7494424,Ultramed,ULTRAMED,36,Centro de Especialidade
saude_sala_situacao_2.155,155,MULTIPOINT ((188267.98775982182 8247301.271006932)),155,-47.910144,-15.833673,nao,3055450,CBV,CBV,7,Hospital Especializado
saude_sala_situacao_2.156,156,MULTIPOINT ((189787.366487568 8255134.350872701)),156,-47.894967198,-15.763138155,nao,3077098,Ceal LP,ASSOCIACAO DE OBRAS PAVONIANAS DE ASSISTENCIA,36,Centro de Especialidade
saude_sala_situacao_2.157,157,MULTIPOINT ((187980.92711821222 8249560.597174707)),157,-47.912529,-15.813238,nao,3056414,Diagnostik,DIAGNOSTIK,36,Centro de Especialidade
saude_sala_situacao_2.158,158,MULTIPOINT ((199393.81820875691 8267536.599379106)),158,-47.803863,-15.652322,nao,5479878,Seane Serv Assist Clin,DAVITA SERVICOS DE NEFROLOGIA DISTRITO FEDERAL LTDA,36,Centro de Especialidade
saude_sala_situacao_2.159,159,MULTIPOINT ((168090.4254411913 8249084.166377176)),159,-48.098072,-15.81497,nao,7491484,CNRV,CLINICA DE NEFROLOGIA RENAL VIDA - CNRV,36,Centro de Especialidade
saude_sala_situacao_2.160,160,MULTIPOINT ((170739.85044166702 8227539.124186773)),160,-48.076328,-16.009817,nao,7990820,SAMU USA Gama,SAMU DF USA - GAMA,42,SAMU
saude_sala_situacao_2.161,161,MULTIPOINT ((215566.25921114325 8270709.233426049)),161,-47.652767,-15.625548,sim,0010529,HRPl,HRPL,5,Hospital
saude_sala_situacao_2.162,162,MULTIPOINT ((189635.50142327347 8248446.797847539)),162,-47.897242,-15.823501,sim,0010537,HMIB,HOSPITAL MATERNO INFANTIL DE BRASILIA - HMIB,5,Hospital
saude_sala_situacao_2.163,163,MULTIPOINT ((191165.5584613199 8252660.430216815)),163,-47.8824331,-15.785646,sim,0010464,HRAN,HRAN,5,Hospital
saude_sala_situacao_2.164,164,MULTIPOINT ((200567.96207085025 8268007.127642728)),164,-47.792863,-15.648213,sim,0010502,HRS,HRS,5,Hospital
saude_sala_situacao_2.165,165,MULTIPOINT ((190559.83743698744 8251038.220761236)),165,-47.888289,-15.800218,sim,0010456,IHBDF,INSTITUTO HOSPITAL DE BASE DO DISTRITO FEDERAL,5,Hospital
saude_sala_situacao_2.166,166,MULTIPOINT ((156530.78557023045 8264380.848094099)),166,-48.203685,-15.67533,sim,0010545,HRBz,HRBZ,5,Hospital
saude_sala_situacao_2.167,167,MULTIPOINT ((172213.7711533138 8246708.967764497)),167,-48.059947,-15.836958,sim,0010618,HSVP,HOSPITAL SAO VICENTE DE PAULO - HSVP,7,Hospital Especializado
saude_sala_situacao_2.168,168,MULTIPOINT ((168355.0656201063 8249035.512340089)),168,-48.09561111,-15.81544444,sim,0010480,HRC,HOSPITAL REGIONAL DE CEILANDIA,5,Hospital
saude_sala_situacao_2.169,169,MULTIPOINT ((182621.79607038456 8249316.081936014)),169,-47.962538,-15.814769,sim,7382243,Oficina Ortopédica DF,OFICINA ORTOPEDICA DO DISTRITO FEDERAL,79,Oficina Ortopedica
saude_sala_situacao_2.170,170,MULTIPOINT ((165635.88986211736 8247911.466732861)),170,-48.121121,-15.825228,sim,7465157,UPA Ceilândia,UNIDADE DE PRONTO ATENDIMENTO CEILANDIA,73,UPA
saude_sala_situacao_2.171,171,MULTIPOINT ((215776.3017068589 8270834.431620165)),171,-47.650795,-15.624441,sim,7366442,UOM Planaltina,UOM DE PLANALTINA,40,Unid Movel Terrestre
saude_sala_situacao_2.172,172,MULTIPOINT ((166908.62724141043 8248908.339531727)),172,-48.109115601,-15.816399574,nao,7991177,SAMU USB Ceil. I,SAMU DF USB - CEILANDIA I,42,SAMU
saude_sala_situacao_2.173,173,MULTIPOINT ((167893.36834708677 8241305.104098152)),173,-48.100982666,-15.885167122,nao,7991185,SAMU USB Samab. I,SAMU DF USB - SAMAMBAIA I,42,SAMU
saude_sala_situacao_2.174,174,MULTIPOINT ((172350.66667439463 8239490.987589108)),174,-48.059654236,-15.902136803,nao,7991193,SAMU USB Rec. Emas II,SAMU DF USB - RECANTO DAS EMAS II,42,SAMU
saude_sala_situacao_2.175,175,MULTIPOINT ((166908.62724141043 8248908.339531727)),175,-48.109115601,-15.816399574,nao,7991207,SAMU USB Ceil. II,SAMU DF USB - CEILANDIA II,42,SAMU
saude_sala_situacao_2.176,176,MULTIPOINT ((165645.73437313602 8247912.942455276)),176,-48.121029,-15.825216,nao,7991215,SAMU USB Ceil. III,SAMU DF USB - CEILANDIA III,42,SAMU
saude_sala_situacao_2.177,177,MULTIPOINT ((215779.38999445742 8270767.47861368)),177,-47.650774,-15.625046,sim,9505709,Policlínica Planaltina,POLICLINICA DE PLANALTINA,4,Policlinica
