FID,fid,the_geom,id,endereco,orgao,telefone,unidade_op,sigla,cpr,georef,area_upm,atualizaca,nome_ra,tipo_2
seguranca_2.251,251,MULTIPOINT ((186252.9073999999 8250011.3137)),249,SAI Sudoeste  Bloco D,PCDF,3362 5932,Delegacia de Defesa do Consumidor,DECON,,,,2006-03-15 00:00:00,Brasília,Delegacia
seguranca_2.252,252,MULTIPOINT ((186252.9073999999 8250011.3137)),250,SAI Sudoeste  Bloco D,PCDF,3362 5901,Delegacia de Falsificações e Defraudações,DEF,,,,2006-03-08 00:00:00,Brasília,Delegacia
seguranca_2.253,253,MULTIPOINT ((186252.9073999999 8250011.3137)),251,SAI Sudoeste  Bloco D,PCDF,3361 3968,Delegacia de Homicídios,DH,,,,2006-03-11 00:00:00,Brasília,Delegacia
seguranca_2.254,254,MULTIPOINT ((186252.9073999999 8250011.3137)),252,SAI Sudoeste  Bloco D,PCDF,3361 0992,Delegacia de Proteção à Criança e ao Adolescente,DPCA,,,,2006-03-17 00:00:00,Brasília,Delegacia
seguranca_2.255,255,MULTIPOINT ((186252.9073999999 8250011.3137)),253,SAI Sudoeste  Bloco D,PCDF,3233 6525,Delegacia de Repressão a Furtos,DRF,,,,2006-03-14 00:00:00,Brasília,Delegacia
seguranca_2.256,256,MULTIPOINT ((186252.9073999999 8250011.3137)),254,SAI Sudoeste  Bloco D,PCDF,3233 6523,Delegacia de Repressão a Roubos,DRR,,,,2006-03-13 00:00:00,Brasília,Delegacia
seguranca_2.257,257,MULTIPOINT ((186252.9073999999 8250011.3137)),255,SAI Sudoeste  Bloco D,PCDF,3362 5668,Delegacia de Roubos e Furtos de Veículos,DRFV,,,,2006-03-09 00:00:00,Brasília,Delegacia
seguranca_2.258,258,MULTIPOINT ((186252.9073999999 8250011.3137)),256,SAI Sudoeste  Bloco D,PCDF,3362 5910,Delegacia de Tóxicos e Entorpecentes,DTE,,,,2006-03-16 00:00:00,Brasília,Delegacia
seguranca_2.259,259,MULTIPOINT ((190938.25930000003 8252405.833)),257,SCN Q 2 BL E Térreo Asa Norte,PCDF,3327 0003,Delegacia Especial do Meio Ambiente,DEMA,,,,2006-03-01 00:00:00,Brasília,Delegacia
seguranca_2.260,260,MULTIPOINT ((189424.18780000042 8251366.0585)),258,SGAS 902 Lt 74 Bl C Ed. Athenas 1º Andar,SSPDF,3901 5850,"ANEXO III - Subsecretaria de Doutrina, Ensino e Pesquisa",SUSDEP,,,,2006-03-01 00:00:00,Brasília,
seguranca_2.261,261,MULTIPOINT ((188398.20820000023 8253155.249)),259,SAM Lote A Bloco B Ed. Sede,SSPDF,3901 5100,CENTRO INTEGRADO DE COORDENAÇÃO OPERACIONAL,CEICO,,,,2006-03-01 00:00:00,Brasília,
seguranca_2.262,262,MULTIPOINT ((188359.25989999995 8253105.0027)),260,SAM Lote A Bloco A Ed. Sede,SSPDF,3901 5317,SECRETARIA DE ESTADO DE SEGURANÇA PÚBLICA E DEFESA SOCIAL,SSPDS,,,,2006-03-01 00:00:00,Brasília,
seguranca_2.263,263,MULTIPOINT ((184230.85670000035 8251389.6996)),261,SIA Tr 8 Lt 180 Térreo,SSPDF,3363 1116,Subsecretaria do Sistema Penitenciário,SESIPE,,,,2006-03-01 00:00:00,SIA,
seguranca_2.264,264,MULTIPOINT ((185534.2575000003 8247380.8268)),262,SAIS 04 Lt 05,PMDF,3901 3596,1ª Companhia Independente de Guarda e Segurança,1ª CIGS,,,,2006-03-01 00:00:00,Brasília,Batalhao da PM
seguranca_2.265,265,MULTIPOINT ((185154.25719999988 8247463.8267)),263,SAIS Quadra 04 Lote 5,CBMDF,3901 2952,Academia de Bombeiro Militar,ABM,,,,2006-03-01 00:00:00,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.266,266,MULTIPOINT ((185403.25739999954 8247384.8267)),264,SAIS Qd 04 Lt 05,CBMDF,3901 3602,Centro de Investigação e Prevenção de Incêndio,CIPI,,,,2006-03-01 00:00:00,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.267,267,MULTIPOINT ((185433.2572999997 8247563.8269)),265,SAIS Qd 04 Lt 05,CBMDF,3901 3595,Centro de Manutenção,CEMAN,,,,2006-03-01 00:00:00,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.268,268,MULTIPOINT ((185506.25760000013 8247065.8265)),266,SAIS Qd 04 Lt 05,CBMDF,3901 3605,Centro de Treinamento Operacional,CTO,,,,2006-03-01 00:00:00,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.269,269,MULTIPOINT ((153570.2313000001 8252186.8156)),267,BR 070 Km 22,SSPDF,3500 2150,Sierra 5,,,,,2006-03-01 00:00:00,Ceilândia,
seguranca_2.270,270,MULTIPOINT ((188309.90550000034 8253174.5745)),268,SAM Lote A Bloco B Ed. Sede,DETRANDF,,DETRAN - Direção,,,,,2006-03-01 00:00:00,Brasília,DETRAN
seguranca_2.271,271,MULTIPOINT ((188307.25700000022 8253215.8324)),269,"SAM, Lote 'A', bloco 'B'  Ed. Sede -DETRAN/DF",DETRANDF,3342 2555,DIVTRAN I,DIVTRAN I,,,,2006-03-01 00:00:00,Brasília,DETRAN
seguranca_2.272,272,MULTIPOINT ((169454.23759999964 8246957.9664)),270,SIG Área Especial 02,DETRANDF,,Depósito do DETRAN - TAG,,,,,2006-03-01 00:00:00,Taguatinga,DETRAN
seguranca_2.273,273,MULTIPOINT ((169462.24569999985 8246961.8192)),271,Setor de Indústrias Gráficas de Taguatinga - AE 2,DETRANDF,3901 3550 ,DIVTRAN II,DIVTRAN II,,,,2006-03-01 00:00:00,Taguatinga,DETRAN
seguranca_2.274,274,MULTIPOINT ((192807.1353000002 8246846.6175)),273,QI 11 AE 02 - Brasília - Lago Sul,PMDF,99656154,5º Batalhão de Polícia Militar,5º BPM,CPRM,NUACRI/SOSP,5º BPM,,Lago Sul,Batalhao da PM
seguranca_2.275,275,MULTIPOINT ((176660.98309999984 8242185.9157)),274,QN 5 Área Especial - Riacho Fundo I,PMDF,96666015,28º Batalhão de Polícia Militar,28º BPM,CPRS,NUACRI/SOSP,28º BPM,,Riacho Fundo,Batalhao da PM
seguranca_2.276,276,MULTIPOINT ((200514.07799999975 8267447.7219)),275,Quadra Central Área Especial nº 2 Lote 02,PMDF,99721016,13º Batalhão de Polícia Militar,13º BPM,CPRL,NUACRI/SOSP,13º BPM,,Sobradinho,Batalhao da PM
seguranca_2.277,277,MULTIPOINT ((185060.45519999973 8248049.6517)),276,Setor de Areas Isoladas Sudeste - SAISO Área Especial - Asa Sul,PMDF,96662790,Batalhão de Operações Especiais,BOPE,CME,NUACRI/SOSP,BOPE,,Brasilia,Batalhao da PM
seguranca_2.278,278,MULTIPOINT ((185060.45519999973 8248049.6517)),277,Setor de Areas Isoladas Sudeste - SAISO Área Especial - Asa Sul,PMDF,99693031,Batalhão de Policiamento com Cães,BPCães,CME,NUACRI/SOSP,BPCães,,Brasilia,Batalhao da PM
seguranca_2.279,279,MULTIPOINT ((185060.45519999973 8248049.6517)),278,Setor de Areas Isoladas Sudeste - SAISO Área Especial - Asa Sul,PMDF,99693031,Batalhão de Policiamento de Choque,BPCHOQUE,CME,NUACRI/SOSP,BPCHOQUE,,Brasilia,Batalhao da PM
seguranca_2.280,280,MULTIPOINT ((185232.51680000033 8247674.6244)),279,"SAIS, Lote 04, Setor Policial",PMDF,99832178,1º Batalhão de Polícia Militar,1º BPM,CPRM,NUACRI/SOSP,1º BPM,,Brasilia,Batalhao da PM
seguranca_2.281,281,MULTIPOINT ((188360.55040000007 8253337.7507)),280,"SAIN Bloco A, Módulo D (Sede do 3º BPM) - Asa Norte",PMDF,99772710,24º Batalhão de Polícia Militar,24º BPM,CPRL,NUACRI/SOSP,24º BPM,,Brasilia,Batalhao da PM
seguranca_2.282,282,MULTIPOINT ((188360.55040000007 8253337.7507)),281,Setor de Áreas Isoladas Norte - Bloco A Modulo-D - Asa Norte,PMDF,99657781,3º Batalhão de Polícia Militar,3º BPM,CPRM,NUACRI/SOSP,3º BPM,,Brasilia,Batalhao da PM
seguranca_2.283,283,MULTIPOINT ((188319.3728 8252437.5053)),282,TJDFT Ed. Desembargador Milton S. Barbosa Bl B 1º Subsolo,PMDF,99867937,12º Batalhão de Polícia Militar,12º BPM,,NUACRI/SOSP,12º BPM,,Brasilia,Batalhao da PM
seguranca_2.284,284,MULTIPOINT ((172870.56049999967 8224487.4025)),283,Área Especial 05/13 - Setor Sul,PMDF,99720142,9º Batalhão de Polícia Militar,9º BPM,CPRS,NUACRI/SOSP,9º BPM,,Gama,Batalhao da PM
seguranca_2.285,285,MULTIPOINT ((215449.19830000028 8270924.0496)),284,SETOR DE EDUCACAO LT. N,CBMDF,,9º Grupamento de Bombeiro Militar,9º GBM,,,,2015/07/24,Planaltina,Batalhao ou Grupamento de Bombeiros
seguranca_2.286,286,MULTIPOINT ((163449.99170000013 8250831.7627)),285,SETOR INDUSTRIAL I QESP  AREA 05,CBMDF,,41º Grupamento de Bombeiro Militar,41º GBM,,,,2015_07_24,Ceilândia,Batalhao ou Grupamento de Bombeiros
seguranca_2.287,287,MULTIPOINT ((163335.83279999997 8251172.4134)),286,Setor de Indústria QES Área 7,PMDF,,10º BATALHAO DA POLICIA MILITAR,10º BPM,,,,2015_07_24,Ceilândia,Batalhao da PM
seguranca_2.288,288,MULTIPOINT ((188812.51099999994 8250202.1701)),287,SEP EQ 706_906 LT. D,DETRANDF,,DETRAN_ SEDE ENGENHARIA,,,,,2015_07_24,Asa Sul,DETRAN
seguranca_2.289,289,MULTIPOINT ((186362.47250000015 8248397.1691)),288,SGA QD. 915 LT. 71-B,PCDF,,POLICLINICA_ PCDF,,,,,2015_07_24,Asa Sul,Policia Civil
seguranca_2.290,290,MULTIPOINT ((182144.37939999998 8250584.004)),289,SIA Trecho 2 Lt 1655,PCDF,,Divisão Especial de Repressão ao Crime Organizado,DECO,,,,,SIA,Delegacia
seguranca_2.291,291,MULTIPOINT ((182339.01169999968 8250562.0746)),290,SIA Trecho 2 Lt 1465,PCDF,,8ª Delegacia Policial,8ª DP,,,,,SIA,Delegacia
seguranca_2.292,292,MULTIPOINT ((190127.56400000025 8252510.2329)),291,SGA QD. 901 LT. A,PCDF,,5ª Delegacia Policial,5ª DP,,,,2015_07_24,Asa Norte,Delegacia
seguranca_2.293,293,MULTIPOINT ((187021.24689999968 8246962.5776)),292,EQS 216/416 - SHCS Perto do Quiosque da PM,PCDF,,Ouvidoria da Polícia Civil,,,,,,Asa Sul,Policia Civil
seguranca_2.294,294,MULTIPOINT ((174021.88320000004 8244361.6312)),293,SETOR E SUL LT. E,PMDF,,128ª Posto Comunitário Segurança,PCS 128,,,,,Taguatinga,Posto Comunitario
seguranca_2.295,295,MULTIPOINT ((174490.73929999955 8244881.3521)),294,QS 05 LT. 05 EPCT,CBMDF,,46º Grupamento de Bombeiro Militar,46º GBM,,,,2015_07_24,Aguas Claras,Batalhao ou Grupamento de Bombeiros
seguranca_2.296,296,MULTIPOINT ((170933.1531999996 8250378.0606)),295,QNG AE 12,PCDF,,17ª  Delegacia Policial,17ª DP,,,,2015_07_24,Taguatinga,Delegacia
seguranca_2.297,297,MULTIPOINT ((175918.6657999996 8244022.0993)),296,AV. AGUAS CLARAS AE 02,PMDF,,POSTO POLICIAL DO 2º BPM,,,,,2015_07_24,Aguas Claras,Posto Policial
seguranca_2.298,298,MULTIPOINT ((175142.57299999986 8246113.4588)),297,Avenida Sibipiruna Lt 5,PMDF,,17º Batalhão de Polícia Militar,17º BPM,,,,,Aguas Claras,Batalhao da PM
seguranca_2.299,299,MULTIPOINT ((160320.04279999994 8257028.5903)),298,PICAG NUCLEO 08 QD. 15 LT. 01,PMDF,,POSTO POLICIAL INCRA 08 DA 9ª CPMIND,,,,,2015_07_24,Brazlândia,Posto Policial
seguranca_2.300,300,MULTIPOINT ((174395.74920000043 8228227.0755)),299,NUCLEO RURAL ALAGADO DF 16 AREA 01,SSPDF,,Penitenciaria Feminina do Distrito Federal,,,,,2015_07_24,Gama,
seguranca_2.301,301,MULTIPOINT ((182143.80790000036 8250926.6229)),300,SIA QD. 04 LT. 1690/1760,SSPDF,,CENTRO DE PROGRESSAO PENITENCIARIA,,,,,2015_07_24,Guará,
seguranca_2.302,302,MULTIPOINT ((192383.9029000001 8259116.7949)),301,SHIN QI 03 LT. E,CBMDF,,34º Grupamento de Bombeiro Militar,34º GBM,,,,2015_07_24,Lago Norte,Batalhao ou Grupamento de Bombeiros
seguranca_2.303,303,MULTIPOINT ((176750.91849999968 8241289.3974)),302,QS 06 LT. A,PCDF,,29ª Delegacia Policial,29ª DP,,,,2015_07_24,Riacho Fundo,Delegacia
seguranca_2.304,304,MULTIPOINT ((170487.57799999975 8242428.6685)),303,QN 308 CONJ. 01 LT. 01/02,PCDF,,32ª DELEGACIA DE POLICIA,32ª DP,,,,2015_07_24,Samambaia,Delegacia
seguranca_2.305,305,MULTIPOINT ((168628.78619999997 8242685.5723)),304,CENTRO URBANO QD. 201 CONJ. 02 LT. 01,CBMDF,,37º Grupamento de Bombeiro Militar,37º GBM,,,,2015_07_24,Samambaia,Batalhao ou Grupamento de Bombeiros
seguranca_2.306,306,MULTIPOINT ((178882.92250000034 8252668.3279)),305,SETOR CENTRAL AE 01,PCDF,,Posto Policial da Estrutural,,,,,2015_07_24,VILA ESTRUTURAL,Policia Civil
seguranca_2.307,307,MULTIPOINT ((178887.61419999972 8252631.097)),306,SETOR CENTRAL AE 01,PMDF,,115ª Posto Comunitário Segurança,PCS 115,,,,2015_07_24,VILA ESTRUTURAL,Posto Comunitario
seguranca_2.308,308,MULTIPOINT ((185003.20969999954 8252515.0417)),307,SRES AE N Lt 14,PCDF,,Comissao Permanente de Alienação,CPA,,,,2015_07_24,Cruzeiro,Policia Civil
seguranca_2.309,309,MULTIPOINT ((186092.4046 8251956.1251)),309,EQRSW 02_03 LTS. 04,PMDF,,CENTRO DE INTELIGENCIA,,,,,2015_07_24,SUDOESTE_ OCTOGONAL,Batalhao da PM
seguranca_2.310,310,MULTIPOINT ((186456.61950000003 8252621.1864)),310,EQRSW 07_08 LT. 03,CBMDF,,45º Grupamento de Bombeiro Militar,45º GBM,,,,2015_07_24,SUDOESTE_ OCTOGONAL,Batalhao ou Grupamento de Bombeiros
seguranca_2.311,311,MULTIPOINT ((168005.82320000045 8237743.4821)),311,QD. 307 AV. RECANTO DAS EMAS LT. 01,CBMDF,,20º Grupamento de Bombeiro Militar,20º GBM,,,,2015_07_24,Recanto das Emas,Batalhao ou Grupamento de Bombeiros
seguranca_2.312,312,MULTIPOINT ((167996.19820000045 8237900.2373)),312,EQ 111/306 Centro Urbano,PMDF,,27º Batalhao Policia Militar,27º BPM,,,,,Recanto das Emas,Batalhao da PM
seguranca_2.313,313,MULTIPOINT ((170503.48929999955 8239087.3323)),313,QD. 300 AV. RECANTO DAS EMAS LT. 01,CBMDF,,36º Grupamento de Bombeiro Militar,36º GBM,,,,,Recanto das Emas,Batalhao ou Grupamento de Bombeiros
seguranca_2.314,314,MULTIPOINT ((175117.5985000003 8246049.8732)),314,AV. SIBIPIRUNA LT. 07,CBMDF,,25º Grupamento de Bombeiro Militar,25º GBM,,,,2015_07_24,Aguas Claras,Batalhao ou Grupamento de Bombeiros
seguranca_2.315,315,MULTIPOINT ((175860.37449999992 8225439.3608)),315,EQ. 304_307 CONJ. E LT. 01,PMDF,,Comando de Policiamento Regional Sul - 2ª Companhia Operacional de Santa Maria,,,,,,Santa Maria,Batalhao da PM
seguranca_2.316,316,MULTIPOINT ((162874.24089999963 8249960.1338)),316,QNQ 05 LT. C,PMDF,,POSTO POLICIAL DO 8º BPM,,,,,2015_07_24,Ceilândia,Posto Policial
seguranca_2.317,317,MULTIPOINT ((165648.3289999999 8245721.0418)),317,EQNP 26_30 AE E,PMDF,,1ª e 2ª CIA   Polícia Militara 8º BPM,,,,,2015_07_24,Ceilândia,Batalhao da PM
seguranca_2.318,318,MULTIPOINT ((170763.33380000014 8227530.4966)),318,Setor Oeste EQ 20 Posto Policial,PMDF,,Junta de serviço Militar,,,,,2015_07_24,Gama,
seguranca_2.319,319,MULTIPOINT ((157367.15887956423 8251073.56456991)),319,BR-070,PRF,3395-9322,,,,,,,Ceilândia,Policia Rodoviaria Federal
seguranca_2.320,320,MULTIPOINT ((160819.02093670747 8236324.699416662)),320,"BR-060, km 13",PRF,3395-9320,,,,,,,Recanto das Emas,Policia Rodoviaria Federal
seguranca_2.321,321,MULTIPOINT ((228078.03011074095 8275655.006491991)),321,"BR-070, km 37",PRF,3395-9330,,,,,,,Planaltina,Policia Rodoviaria Federal
