FID,fid,the_geom,id,endereco,orgao,telefone,unidade_op,sigla,cpr,georef,area_upm,atualizaca,nome_ra,tipo_2
seguranca_2.78,78,MULTIPOINT ((179872.3075000001 8249227.7656)),78,SRIA I QI 10 Praça,PMDF,,113ª Posto Comunitário Segurança,PCS 113,CPRM,NUACRI/SOSP,4º BPM,,Guará II,Posto Comunitario
seguranca_2.79,79,MULTIPOINT ((185312.69539999962 8251032.6613)),79,SHCES Q 1101 Lt 12,CBMDF,3901 2902,14ª Grupamento de Bombeiro Militar,14ª GBM,,,,,Cruzeiro,Batalhao ou Grupamento de Bombeiros
seguranca_2.80,80,MULTIPOINT ((185366.47190000024 8252814.0817)),80,SRES SE Lt 3,PMDF,3361 5607,11ª Companhia de Policia Militar Independente,11ª CPMInd,,,,,Cruzeiro,Batalhao da PM
seguranca_2.81,81,MULTIPOINT ((166045.50719999988 8250519.1301)),81,Setor M QNM 8 Cj H Lt 39,PMDF,,91ª Posto Comunitário Segurança,PCS 091,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.82,82,MULTIPOINT ((184876.93549999967 8252200.4322)),82,SRES AE Lt 16,PCDF,3233 6480,3ª  Delegacia Policial,3ª DP,,,,,Cruzeiro Velho,Delegacia
seguranca_2.83,83,MULTIPOINT ((167179.31170000043 8248967.1138)),83,Setor M QNM 2 Cj F Lt 2,PCDF,3581 3365,Delegacia da Criança e do Adolescente II,DCA II,,,,,Ceilandia,Delegacia
seguranca_2.84,84,MULTIPOINT ((167228.27660000045 8248994.1029)),84,Setor M QNM 2 DP,PCDF,3373 1252,15ª  Delegacia Policial,15ª DP,,,,,Ceilândia,Delegacia
seguranca_2.85,85,MULTIPOINT ((172294.7287999997 8228949.6189)),85,Av Contorno Norte Lt 1,DETRANDF,3901 1070,SERTRAN II,SERTRAN II,,,,,Gama,DETRAN
seguranca_2.86,86,MULTIPOINT ((186093.30370000005 8251869.877)),86,SHCSW EQRSW 2/3 Lt 3,PMDF,99721022,7ª Batalhao Policia Militar,7º BPM,CPRM,NUACRI/SOSP,7º BPM,,Cruzeiro,Batalhao da PM
seguranca_2.87,87,MULTIPOINT ((186688.42599999998 8251009.6337)),87,SHCSW CLSW 102 Bl C,PMDF,,34ª Posto Comunitário Segurança,PCS 034,CPRM,NUACRI/SOSP,7º BPM,,Sudoeste,Posto Comunitario
seguranca_2.88,88,MULTIPOINT ((172082.08559999987 8227089.128)),88,Setor Central EQ 55/56 AE 2,PMDF,,83ª Posto Comunitário Segurança,PCS 083,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.89,89,MULTIPOINT ((172537.48780000024 8225650.9701)),89,Setor Leste Q 39 Lt 35,PMDF,,109ª Posto Comunitário Segurança,PCS 109,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.90,90,MULTIPOINT ((172822.46449999977 8226218.1006)),90,Setor Leste Q 24 CL Lt 3,PMDF,,8ª Posto Comunitário Segurança,PCS 008,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.91,91,MULTIPOINT ((171890.31109999958 8226733.8272)),91,Setor Central Delegacia,PCDF,3384 4088,14ª  Delegacia Policial,14ª DP,,,,,Gama,Delegacia
seguranca_2.92,92,MULTIPOINT ((172413.98539999966 8227838.7758)),92,Setor Norte EQ 1/2 CBDF,CBMDF,3901 8570,16º Grupamento de Bombeiro Militar,3ª GBM,,,,,Gama,Batalhao ou Grupamento de Bombeiros
seguranca_2.93,93,MULTIPOINT ((173196.9441999998 8227666.1763)),93,Setor Leste EQ 7/9 AE 7/9,PMDF,,76ª Posto Comunitário Segurança,PCS 076,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.94,94,MULTIPOINT ((170094.24590000045 8227907.43)),94,Setor Oeste Q 18 Lt 80,PMDF,,93ª Posto Comunitário Segurança,PCS 093,CPRS,NUACRI/SOSP,9º BPM,,Gama,Posto Comunitario
seguranca_2.95,95,MULTIPOINT ((170711.57299999986 8227561.2014)),95,Setor Oeste EQ 13/17,PCDF,3556 8389,20ª  Delegacia Policial,20ª DP,,,,,Gama,Delegacia
seguranca_2.96,96,MULTIPOINT ((167338.03749999963 8247283.5139)),96,Setor N QNN 6 Lt S/n,PMDF,3376 6060,8º Batalhao de Policia Militar,8º BPM,,,,,Ceilândia,Batalhao da PM
seguranca_2.97,97,MULTIPOINT ((166188.3468000004 8245323.808)),97,Setor P EQNP 30/34 AE B,PCDF,3376 3748,23ª  Delegacia Policial,23ª DP,,,,,Ceilândia,Delegacia
seguranca_2.98,98,MULTIPOINT ((188265.50349999964 8253681.467)),98,SAM Lt D,PMDF,3901 8578,Quartel do Comando Geral,QCG,,,,,Brasília,Batalhao da PM
seguranca_2.99,99,MULTIPOINT ((164578.36089999974 8248565.1865)),99,Setor P EQNP 11/7 EC,PMDF,,105ª Posto Comunitário Segurança,PCS 105,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.100,100,MULTIPOINT ((164221.70689999964 8249748.3004)),100,Setor P EQNP 19/15 AE A,PCDF,3375 9911,19ª  Delegacia Policial,19ª DP,,,,,Ceilândia,Delegacia
seguranca_2.101,101,MULTIPOINT ((166204.02840000018 8245815.8097)),101,Setor P QNP 16 EC,PMDF,,110ª Posto Comunitário Segurança,PCS 110,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.102,102,MULTIPOINT ((165801.5569000002 8244625.7589)),102,Cond Pôr do Sol Q 401 Cj A Lt 10,PMDF,,72ª Posto Comunitário Segurança,PCS 072,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.103,103,MULTIPOINT ((164424.45179999992 8247429.5435)),103,SETOR HABITACIONAL SOL NASCENTE TRECHO 02 Q 206 Cj F Lt 36,PMDF,,74ª Posto Comunitário Segurança,PCS 074,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.104,104,MULTIPOINT ((161614.85529999994 8250530.9421)),104,Setor de Indústria QI 18 Lt 66,PMDF,,100ª Posto Comunitário Segurança,PCS 100,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.105,105,MULTIPOINT ((164381.5959999999 8251275.9011)),105,Setor O EQNO 10/12 Lt E,PCDF,3374 0359,24ª Delegacia Policial,24ª DP,,,,,Ceilândia,Delegacia
seguranca_2.106,106,MULTIPOINT ((184055.48149999976 8244906.9252)),106,QR 01-A Lt 02 Praça do Bosque,CBMDF,3901 2910,19ª Grupamento de Bombeiro Militar,19ª GBM,,,,,Candangolândia,Batalhao ou Grupamento de Bombeiros
seguranca_2.107,107,MULTIPOINT ((183458.37359999958 8244555.3982)),107,Área a ser parcelada,PMDF,,22ª Posto Comunitário Segurança,PCS 022,CPRS,NUACRI/SOSP,25º BPM,,Candangolândia,Posto Comunitario
seguranca_2.108,108,MULTIPOINT ((184117.40029999986 8244657.5723)),108,Praça do Bosque Lt 10,PMDF,96666017,Batalhao Policia Militar Ambiental,BPMA,CME,NUACRI/SOSP,BPMA,,Candangolândia,Batalhao da PM
seguranca_2.109,109,MULTIPOINT ((156925.67810000014 8264720.327)),109,Bairro Veredas Q 1 Cj H Lt 9,PMDF,,103ª Posto Comunitário Segurança,PCS 103,CPRO,NUACRI/SOSP,16º BPM,,Brazlandia,Posto Comunitario
seguranca_2.110,110,MULTIPOINT ((156952.39379999973 8265989.1018)),110,Vila São José Q 37 Cj J Lt 19,PMDF,,1ª Posto Comunitário Segurança,PCS 001,CPRO,NUACRI/SOSP,16º BPM,,Brazlandia,Posto Comunitario
seguranca_2.111,111,MULTIPOINT ((186082.05920000002 8247462.4294)),111,SPO Lt 1,CBMDF,3901 3463,15ª Grupamento de Bombeiro Militar,15ª GBM,,,,,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.112,112,MULTIPOINT ((189265.6972000003 8248699.5794)),112,SHCS EQS 208/408 Lt B,PCDF,3242 3529,Divisão de Controle de Denúncias e Ocorrências Eletrônicas,DICOE,,,,,Brasília,Delegacia
seguranca_2.113,113,MULTIPOINT ((189604.0861999998 8251705.3088)),113,SRPS Parque da Cidade,PMDF,,99ª Posto Comunitário Segurança,PCS 099,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.114,114,MULTIPOINT ((157528.90859999973 8263908.1794)),114,Setor Norte Q 4 Rua E Lt 45,PMDF,,118ª Posto Comunitário Segurança,PCS 118,CPRO,NUACRI/SOSP,16º BPM,,Brazlandia,Posto Comunitario
seguranca_2.115,115,MULTIPOINT ((157340.3459999999 8263262.899)),115,Setor Norte AE 1N Lt A,PMDF,96666010,16ª Batalhao Policia Militar,16º BPM,CPRO,NUACRI/SOSP,16º BPM,,Brazlandia,Batalhao da PM
seguranca_2.116,116,MULTIPOINT ((157936.88650000002 8263815.0793)),116,SN Quadra 03 AE 04,PCDF,3391 1120,18ª  Delegacia Policial,18ª DP,,,,,Brazlândia,Delegacia
seguranca_2.117,117,MULTIPOINT ((190917.69770000037 8251544.18)),117,SDS Bl L,PMDF,3325 8209,7a Companhia de Policia Militar Independente,7ª CPMInd,,,,,Brasília,Batalhao da PM
seguranca_2.118,118,MULTIPOINT ((190124.69680000003 8249737.8401)),118,SHCS EQS 204/205 Lt A,PCDF,3244 9566,Delegacia  Especial de Atendimento à Mulher,DEAM,,,,,Brasília,Delegacia
seguranca_2.119,119,MULTIPOINT ((189453.97240000032 8251350.3589)),119,SGAS Q 902 Lt 74,PCDF,3323 4210,Divisão de Polícia Comunitária,DIPCOM,,,,,Brasília,Delegacia
seguranca_2.120,120,MULTIPOINT ((188167.28280000016 8247841.0681)),120,SHCS EQS 212/412 Lt A,PCDF,3346 6775,Divisão de Controle de Denúncias e Ocorrências Eletrônicas,DICOE,,,,,Brasília,Delegacia
seguranca_2.121,121,MULTIPOINT ((156651.20289999992 8263277.589)),121,Setor Tradicional AE 1 INPS,CBMDF,3901 3609,7ª Grupamento de Bombeiro Militar,7ª GBM,,,,,Brazlândia,Batalhao ou Grupamento de Bombeiros
seguranca_2.122,122,MULTIPOINT ((162431.91640000045 8249702.2149)),122,SH Sol Nascente/Cond Chac 616 Cj A Lt 2,PMDF,,71ª Posto Comunitário Segurança,PCS 071,CPRO,NUACRI/SOSP,8º BPM,,Ceilândia,Posto Comunitario
seguranca_2.123,123,MULTIPOINT ((190360.0376000004 8254749.6236)),123,SEPN Q 507 Bl D,DETRANDF,3340 8869,POSTO DE LICENCIAMENTO,,,,,,Brasília,DETRAN
seguranca_2.124,124,MULTIPOINT ((191582.31269999966 8252432.6216)),124,SBN Q 2 Bl K,PCDF,3312 8061,Delegacia de Crimes Contra a Ordem Tributária,DOT,,,,,Brasília,Delegacia
seguranca_2.125,125,MULTIPOINT ((191446.49670000002 8253986.7217)),125,SHCN EQN 204/205 Lt A,PCDF,3347 0100,Delegacia da Criança e do Adolescente,DCA,,,,,Brasília,Delegacia
seguranca_2.126,126,MULTIPOINT ((194963.67080000043 8252531.885)),126,SCEN Trecho 1 Lt 3A/3B,CBMDF,3901 3448,1º Batalhão de Busca e Salvamento,1º BBS,,,,,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.127,127,MULTIPOINT ((188712.27219999954 8258039.808)),127,STN Lt G,CBMDF,3901 2927,4º Batalhão de Incêndio/Florestal,4º BI/F,,,,,Brasília,Batalhao ou Grupamento de Bombeiros
seguranca_2.128,128,MULTIPOINT ((186113.54370000027 8249946.8237)),128,SPO IML/CPE,PCDF,3362 5714,"Depto de Ativ Especiais, Ins Criminal, Inst Pesq Forense DNA, DPE",DEPATE,,,,,Brasília,Policia Civil
seguranca_2.129,129,MULTIPOINT ((185797.02080000006 8247255.2468)),129,SPO Lt 2B,PCDF,3245 1567,1ª  Delegacia Policial,1ª DP,,,,,Brasília,Delegacia
seguranca_2.130,130,MULTIPOINT ((190938.22800000012 8252405.833)),130,SCN Q 2 Bl E,PCDF,3327 0003,Delegacia de Repressão à Pequenas Infrações,DRPI,,,,,Brasília,Delegacia
seguranca_2.131,131,MULTIPOINT ((189212.85869999975 8254333.8613)),131,SAM DETRAN,DETRANDF,,Depósito do DETRAN _ Plano Piloto,,,,,,Brasília,DETRAN
seguranca_2.132,132,MULTIPOINT ((187123.4896999998 8248840.1929)),132,SHIGS Q 713 Bl I Lt 74,PMDF,,45ª Posto Comunitário Segurança,PCS 045,CPRM,NUACRI/SOSP,1º BPM,,Asa Sul,Posto Comunitario
seguranca_2.133,133,MULTIPOINT ((193084.6752000004 8251852.5835)),133,SAFN Garagem do Congresso 1,PMDF,3216 9910,6º Batalhao Policia Militar,6º BPM,,,,,Brasília,Batalhao da PM
seguranca_2.134,134,MULTIPOINT ((179277.21310000028 8229396.2896)),134,Cond Resid Santos Dumont Rua Min Araripe Macedo QC 5 Lt 22,PMDF,,78ª Posto Comunitário Segurança,PCS 078,CPRS,NUACRI/SOSP,26º BPM,,Santa Maria,Posto Comunitario
seguranca_2.135,135,MULTIPOINT ((185012.2575000003 8246379.8258)),135,SHIP Setor Hípico Canteiro de Obras do Metrô - Parque das Aves,PMDF,3345 4238,16ª Companhia de Policia Militar Independente,16ª CPMInd,,,,,Brasília,Batalhao da PM
seguranca_2.136,136,MULTIPOINT ((175620.2525000004 8242123.8184)),136,BR 060 -Granja Modelo Riacho Fundo,PMDF,3356 1880,Regimento Policia Montada,RPMon,,,,,Riacho Fundo,Batalhao da PM
