nome,lon,lat,ra
INST MONTE HOREBE ASA SUL,-47.92541710967947,-15.821502293853957,BRASILIA
INST TECNICO DE EDUC DE BRASILIA - ASA SUL,-47.89612207755651,-15.799652037481264,BRASILIA
MONTESSORIANA ESC INF,-47.9267960675899,-15.831526383416563,BRASILIA
SIGMA L2 NORTE,-47.87434207998271,-15.769056791120214,BRASILIA
C DE EDUC INTEGRADA PILARES,-48.02806650559331,-15.86946055024137,AGUAS CLARAS
CASINHA DE ANJO,-47.99609395700356,-15.856752727015808,AGUAS CLARAS
CED LEONARDO DA VINCI - UNIDADE TAGUATINGA,-48.04064908942571,-15.846982002192153,AGUAS CLARAS
CED SIGMA AGUAS CLARAS,-48.019127819827254,-15.838359621762109,AGUAS CLARAS
COL ARABERI,-48.04060089298865,-15.850591066658293,AGUAS CLARAS
COL CDA,-47.997269225532136,-15.856693743314553,AGUAS CLARAS
COL CECCO,-48.02541684236247,-15.864947646947677,AGUAS CLARAS
ESC ATUAL,-48.0179154712748,-15.840945311258231,AGUAS CLARAS
ESC EDUC ARTE,-48.0264847286359,-15.861082523367381,AGUAS CLARAS
ESC ESTRELA GUIA,-48.02517310001877,-15.863395683002008,AGUAS CLARAS
ESC LA SALLE,-48.013924654083,-15.82697990957919,AGUAS CLARAS
INST ESPIRITA DE EDUC,-48.032065280607334,-15.835911558950663,AGUAS CLARAS
IPE CED,-48.008713540710296,-15.83706761457218,AGUAS CLARAS
ACAO SOCIAL PAULA FRASSINETTI,-47.900628420111104,-15.75844208484607,BRASILIA
ASSOC DE MAES PAIS AMIGOS REABILITADORES DE EXCEP - AMPARE,-47.893182037039125,-15.762450419774659,BRASILIA
ASSOC DE PAIS E AMIGOS DOS EXCEP - APAE-DF,-47.897443319072615,-15.75564147276551,BRASILIA
C ESPECIALIZADO PESTALOZZI,-47.8547432697715,-15.80847046516519,BRASILIA
CASA DA CRIANCA PAO DE SANTO ANTONIO,-47.905071822130324,-15.805803414709116,BRASILIA
CED DA AUDICAO E LINGUAGEM LUDOVICO PAVONI,-47.895456929981165,-15.763042531964658,BRASILIA
CR CRUZ DE MALTA NOSSA SENHORA DO FILERMO,-47.89684910556458,-15.766039117620364,BRASILIA
CR CRUZ DE MALTA SAO JOAO BATISTA DE JERUSALEM,-47.889482725624234,-15.767324400912873,BRASILIA
CR PIONEIRA DA VILA PLANALTO,-47.84965138899246,-15.796529796214696,BRASILIA
ESC INF CASA DE ISMAEL,-47.899901461775166,-15.749145924980246,BRASILIA
ESC INF CICERO PEREIRA,-47.90253446998115,-15.744063607532082,BRASILIA
COL ATHOS,-48.202169436709944,-15.67306992902133,BRAZLANDIA
COL IMPACTO,-48.19915614781356,-15.666803583006907,BRAZLANDIA
JI MENINO JESUS,-48.19236471712042,-15.67253119549337,BRAZLANDIA
ESC PONTA DE LAPIS,-47.95387138118433,-15.857978156095005,CANDANGOLANDIA
ESCOLINHA BAMBI,-47.953695677750765,-15.858270761789345,CANDANGOLANDIA
CR CANTINHO DE VOCE,-47.94993269731326,-15.856260584617464,CANDANGOLANDIA
CE DA MONICA,-48.12847812412838,-15.815501499815683,CEILANDIA
CE EBENEZER,-48.10461963695475,-15.825512333101782,CEILANDIA
CE INTERATIVO,-48.127825053266484,-15.817918876347536,CEILANDIA
CED INTERAGINDO,-48.1610248564982,-15.802029791539598,CEILANDIA
CED SANTA MARIA ROSA MOLAS - CEMAR,-48.104140656493286,-15.804205490877937,CEILANDIA
COL CRESCER,-48.116759292350764,-15.82514303622557,CEILANDIA
COL ALUB - SEDE V,-48.10013231316624,-15.831102724220619,CEILANDIA
COL EVOLUTIVO,-48.143691762418534,-15.807430388816687,CEILANDIA
COL GAMALIEL,-48.122844548896055,-15.838041983695023,CEILANDIA
COL MAPA,-48.135504437990676,-15.809137524863491,CEILANDIA
COL MARIANO,-48.10117650122177,-15.809807116010806,CEILANDIA
COL MEGA,-48.10902352744995,-15.838904765208813,CEILANDIA
COL PADRAO,-48.12020190563165,-15.79032155250244,CEILANDIA
COL TIRADENTES,-48.11092498577936,-15.84458232835334,CEILANDIA
COL WGS,-48.138849302656155,-15.806018945043414,CEILANDIA
DINAMICO CED,-48.128035807394554,-15.812061563734142,CEILANDIA
EDUC DO SERVICO SOCIAL DO COMERCIO - EDUSESC CEILANDIA,-48.122164010113934,-15.820277930342883,CEILANDIA
EICCA,-48.12113353249407,-15.842751672676517,CEILANDIA
EIN - ESC ISAAC NEWTON,-48.126199713407345,-15.793627646949634,CEILANDIA
